Province,City,LatLng
Benguet,Bakun,16.7922; 120.6653
Benguet,Bokod,16.500; 120.833
Benguet,Buguias,16.72306; 120.82806
Benguet,Itogon,16.367; 120.683
Benguet,Kabayan,16.617; 120.850
Benguet,Kapangan,16.583; 120.600
Benguet,Kibungan,16.700; 120.667
Benguet,La Trinidad,16.450; 120.567
Benguet,Mankayan,16.867; 120.783
Benguet,Sablan,16.517; 120.517
Benguet,Tuba,16.317; 120.550
Benguet,Tublay,16.517; 120.617
Biliran,Almeria,11.617; 124.383
Biliran,Biliran,11.467; 124.483
Biliran,Cabucgayan,11.483; 124.567
Biliran,Caibiran,11.567; 124.583
Biliran,Culaba,11.650; 124.533
Biliran,Kawayan,11.683; 124.367
Biliran,Maripipi,11.783; 124.333
Biliran,Naval,11.583; 124.450
Bohol,Tagbilaran City,""
Bohol,Alburquerque,9.6; 123.95
Bohol,Alicia,9.9; 124.45
Bohol,Anda,9.75; 124.57
Bohol,Antequera,9.78; 123.9
Bohol,Baclayon,9.63; 123.9
Bohol,Balilihan,9.75; 123.97
Bohol,Batuan,9.8; 124.13
Bohol,Bien Unido,10.13; 124.38
Bohol,Bilar,9.7; 124.1
Bohol,Buenavista,10.08; 124.12
Bohol,Calape,9.88; 123.88
Bohol,Candijay,9.82; 124.5
Bohol,Carmen,9.82; 124.2
Bohol,Catigbian,9.83; 124.03
Bohol,Clarin,9.97; 124.02
Bohol,Corella,9.68; 123.92
Bohol,Cortes,9.72; 123.88
Bohol,Dagohoy,9.92; 124.28
Bohol,Danao,10.02; 124.27
Bohol,Dauis,9.62; 123.85
Bohol,Dimiao,9.62; 124.17
Bohol,Duero,9.72; 124.4
Bohol,Garcia Hernandez,9.62; 124.3
Bohol,Getafe,10.15; 124.15
Bohol,Guindulman,9.77; 124.48
Bohol,Inabanga,10.03; 124.07
Bohol,Jagna,9.65; 124.37
Bohol,Lila,9.6; 124.1
Bohol,Loay,9.6; 124.02
Bohol,Loboc,9.63; 124.03
Bohol,Loon,9.8; 123.8
Bohol,Mabini,9.87; 124.52
Bohol,Maribojoc,9.75; 123.83
Bohol,Panglao,9.58; 123.75
Bohol,Pilar,9.83; 124.33
Bohol,President Carlos P. Garcia,10.12; 124.55
Bohol,Sagbayan,9.92; 124.1
Bohol,San Isidro,9.8; 124.3
Bohol,San Miguel,10; 124.32
Bohol,Sevilla,9.7; 124.05
Bohol,Sierra Bullones,9.82; 124.28
Bohol,Sikatuna,9.68; 123.97
Bohol,Talibon,10.12; 124.28
Bohol,Trinidad,10.05; 124.35
Bohol,Tubigon,9.95; 123.97
Bohol,Ubay,10.05; 124.47
Bohol,Valencia,9.62; 124.2
Bukidnon,Malaybalay City,""
Bukidnon,Valencia City,""
Bukidnon,Baungon,8.250; 124.717
Bukidnon,Cabanglasan,8.067; 125.317
Bukidnon,Damulog,7.483; 124.933
Bukidnon,Dangcagan,7.617; 125.000
Bukidnon,Don Carlos,7.683; 125.000
Bukidnon,Impasug-ong,""
Bukidnon,Kadingilan,7.600; 124.917
Bukidnon,Kalilangan,7.750; 124.750
Bukidnon,Kibawe,7.567; 124.983
Bukidnon,Kitaotao,7.633; 125.017
Bukidnon,Lantapan,8.050; 124.983
Bukidnon,Libona,8.333; 124.733
Bukidnon,Malitbog,8.533; 124.883
Bukidnon,Manolo Fortich,8.367; 124.867
Bukidnon,Maramag,7.767; 125.000
Bukidnon,Pangantucan,7.833; 124.833
Bukidnon,Quezon,7.733; 125.100
Bukidnon,San Fernando,7.917; 125.333
Bukidnon,Sumilao,8.283; 124.950
Bukidnon,Talakag,8.233; 124.600
Bulacan,Malolos City,""
Bulacan,Meycauayan City,""
Bulacan,San Jose del Monte City,""
Bulacan,Angat,14.933; 121.033
Bulacan,Balagtas,14.817; 120.867
Bulacan,Baliuag,14.950; 120.883
Bulacan,Bocaue,14.800; 120.933
Bulacan,Bulacan,""
Bulacan,Bustos,14.950; 120.917
Bulacan,Calumpit,14.917; 120.767
Bulacan,Doña Remedios Trinidad,15.000; 121.083
Bulacan,Guiguinto,14.833; 120.883
Bulacan,Hagonoy,14.833; 120.733
Bulacan,Marilao,14.75806; 120.94806
Bulacan,Norzagaray,14.917; 121.050
Bulacan,Obando,14.700; 120.917
Bulacan,Pandi,14.867; 120.950
Bulacan,Paombong,14.83111; 120.78917
Bulacan,Plaridel,14.883; 120.850
Bulacan,Pulilan,14.900; 120.850
Bulacan,San Ildefonso,15.07889; 120.94194
Bulacan,San Miguel,15.14583; 120.97833
Bulacan,San Rafael,14.950; 120.967
Bulacan,Santa Maria,14.817; 120.950
Cagayan,Tuguegarao City,""
Cagayan,Abulug,18.450; 121.450
Cagayan,Alcala,17.900; 121.650
Cagayan,Allacapan,18.250; 121.583
Cagayan,Amulung,17.833; 121.733
Cagayan,Aparri,18.333; 121.667
Cagayan,Baggao,17.917; 121.967
Cagayan,Ballesteros,18.400; 121.517
Cagayan,Buguey,18.283; 121.833
Cagayan,Calayan,19.267; 121.483
Cagayan,Camalaniugan,18.27444; 121.67361
Cagayan,Claveria,18.60750; 121.08500
Cagayan,Enrile,17.550; 121.700
Cagayan,Gattaran,18.067; 121.650
Cagayan,Gonzaga,18.267; 122.000
Cagayan,Iguig,17.750; 121.733
Cagayan,Lal-lo,18.200; 121.667
Cagayan,Lasam,18.067; 121.600
Cagayan,Pamplona,18.45000; 121.34167
Cagayan,Peñablanca,17.633; 121.783
Cagayan,Piat,17.79111; 121.47611
Cagayan,Rizal,17.850; 121.350
Cagayan,Sanchez-Mira,18.567; 121.233
Cagayan,Santa Ana,18.467; 122.150
Cagayan,Santa Praxedes,18.567; 121.000
Cagayan,Santa Teresita,18.250; 121.883
Cagayan,Santo Niño,17.883; 121.567
Cagayan,Solana,17.65500; 121.68889
Cagayan,Tuao,17.733; 121.450
Camarines Norte,Basud,14.067; 122.967
Camarines Norte,Capalonga,14.333; 122.500
Camarines Norte,Daet,14.117; 122.950
Camarines Norte,Jose Panganiban,14.300; 122.700
Camarines Norte,Labo,14.017; 122.350
Camarines Norte,Mercedes,14.100; 123.017
Camarines Norte,Paracale,14.283; 122.783
Camarines Norte,San Lorenzo Ruiz,14.117; 122.867
Camarines Norte,San Vicente,14.100; 122.867
Camarines Norte,Santa Elena,14.200; 122.383
Camarines Norte,Talisay,14.133; 122.917
Camarines Norte,Vinzons,14.183; 122.900
Camarines Sur,Iriga City,""
Camarines Sur,Naga City,""
Camarines Sur,Baao,13.45611; 123.36389
Camarines Sur,Balatan,13.317; 123.233
Camarines Sur,Bato,13.35611; 123.36389
Camarines Sur,Bombon,13.683; 123.200
Camarines Sur,Buhi,13.433; 123.517
Camarines Sur,Bula,13.467; 123.283
Camarines Sur,Cabusao,13.717; 123.100
Camarines Sur,Calabanga,13.717; 123.233
Camarines Sur,Camaligan,13.62500; 123.15694
Camarines Sur,Canaman,13.650; 123.167
Camarines Sur,Caramoan,13.767; 123.867
Camarines Sur,Del Gallego,13.917; 122.600
Camarines Sur,Gainza,13.617; 123.150
Camarines Sur,Garchitorena,13.883; 123.700
Camarines Sur,Goa,13.700; 123.500
Camarines Sur,Lagonoy,13.73861; 123.52056
Camarines Sur,Libmanan,13.700; 123.067
Camarines Sur,Lupi,13.817; 122.900
Camarines Sur,Magarao,13.667; 123.183
Camarines Sur,Milaor,13.600; 123.183
Camarines Sur,Minalabac,13.567; 123.183
Camarines Sur,Nabua,13.40139; 123.37639
Camarines Sur,Ocampo,13.567; 123.383
Camarines Sur,Pamplona,13.600; 123.083
Camarines Sur,Pasacao,13.517; 123.050
Camarines Sur,Pili,13.583; 123.300
Camarines Sur,Presentacion,13.717; 123.750
Camarines Sur,Ragay,13.817; 122.783
Camarines Sur,Sagñay,13.60417; 123.52000
Camarines Sur,San Fernando,13.567; 123.150
Camarines Sur,San Jose,13.717; 123.517
Camarines Sur,Sipocot,13.767; 122.983
Camarines Sur,Siruma,14.000; 123.250
Camarines Sur,Tigaon,13.633; 123.500
Camarines Sur,Tinambac,13.817; 123.333
Camiguin,Catarman,9.133; 124.683
Camiguin,Guinsiliban,9.100; 124.783
Camiguin,Mahinog,9.150; 124.783
Camiguin,Mambajao,9.250; 124.717
Camiguin,Sagay,9.117; 124.717
Capiz,Roxas City,""
Capiz,Cuartero,11.350; 122.667
Capiz,Dao,11.400; 122.683
Capiz,Dumalag,11.300; 122.617
Capiz,Dumarao,11.267; 122.683
Capiz,Ivisan,11.517; 122.683
Capiz,Jamindan,11.400; 122.500
Capiz,Ma-ayon,""
Capiz,Mambusao,11.433; 122.600
Capiz,Panay,11.550; 122.800
Capiz,Panitan,11.467; 122.767
Capiz,Pilar,11.483; 123.000
Capiz,Pontevedra,11.483; 122.833
Capiz,President Roxas,11.433; 122.933
Capiz,Sapi-an,""
Capiz,Sigma,11.417; 122.667
Capiz,Tapaz,11.267; 122.533
Catanduanes,Bagamanoc,13.933; 124.283
Catanduanes,Baras,13.667; 124.367
Catanduanes,Bato,13.600; 124.300
Catanduanes,Caramoran,13.983; 124.133
Catanduanes,Gigmoto,13.783; 124.383
Catanduanes,Pandan,14.050; 124.167
Catanduanes,Panganiban,13.900; 124.300
Catanduanes,San Andres,13.600; 124.100
Catanduanes,San Miguel,13.633; 124.300
Catanduanes,Viga,13.867; 124.300
Catanduanes,Virac,13.583; 124.233
Cavite,Cavite City,""
Cavite,Dasmariñas City,""
Cavite,Tagaytay City,""
Cavite,Trece Martires City,""
Cavite,Alfonso,14.14083; 120.85389
Cavite,Amadeo,14.167; 120.917
Cavite,Bacoor,""
Cavite,Carmona,14.317; 121.050
Cavite,General Mariano Alvarez,14.300; 121.000
Cavite,General Emilio Aguinaldo,14.183; 120.800
Cavite,General Trias,14.383; 120.883
Cavite,Imus,""
Cavite,Indang,14.19528; 120.87694
Cavite,Kawit,14.433; 120.900
Cavite,Magallanes,14.18833; 120.75750
Cavite,Maragondon,14.27333; 120.73833
Cavite,Mendez,14.12861; 120.90583
Cavite,Naic,14.317; 120.767
Cavite,Noveleta,14.433; 120.883
Cavite,Rosario,14.417; 120.850
Cavite,Silang,14.233; 120.983
Cavite,Tanza,14.400; 120.833
Cavite,Ternate,14.283; 120.717
Cebu,Bogo City,""
Cebu,Cebu City,""
Cebu,Carcar City,""
Cebu,Danao City,""
Cebu,Lapu-Lapu City,""
Cebu,Mandaue City,""
Cebu,Naga City,""
Cebu,Talisay City,""
Cebu,Toledo City,""
Cebu,Alcantara,9.98; 123.4
Cebu,Alcoy,9.68; 123.5
Cebu,Alegria,9.77; 123.38
Cebu,Aloguinsan,10.22; 123.55
Cebu,Argao,9.88; 123.6
Cebu,Asturias,10.57; 123.72
Cebu,Badian,9.87; 123.4
Cebu,Balamban,10.5; 123.72
Cebu,Bantayan,11.17; 123.72
Cebu,Barili,10.12; 123.52
Cebu,Boljoon,9.63; 123.48
Cebu,Borbon,10.83; 124.03
Cebu,Carmen,10.58; 124.02
Cebu,Catmon,10.72; 124
Cebu,Compostela,10.45; 124
Cebu,Consolacion,10.5; 123.95
Cebu,Cordoba,10.25; 123.95
Cebu,Daanbantayan,11.25; 124
Cebu,Dalaguete,9.77; 123.53
Cebu,Dumanjug,10.05; 123.43
Cebu,Ginatilan,9.6; 123.35
Cebu,Liloan,10.4; 123.98
Cebu,Madridejos,11.27; 123.73
Cebu,Malabuyoc,9.65; 123.33
Cebu,Medellin,11.13; 123.97
Cebu,Minglanilla,10.25; 123.78
Cebu,Moalboal,9.95; 123.4
Cebu,Oslob,9.55; 123.4
Cebu,Pilar,10.8; 124.55
Cebu,Pinamungahan,""
Cebu,Poro,10.63; 124.42
Cebu,Ronda,10; 123.4
Cebu,Samboan,9.53; 123.3
Cebu,San Fernando,10.17; 123.7
Cebu,San Francisco,10.65; 124.35
Cebu,San Remigio,11.05; 123.98
Cebu,Santa Fe,11.15; 123.82
Cebu,Santander,9.45; 123.33
Cebu,Sibonga,10.03; 123.57
Cebu,Sogod,10.75; 124
Cebu,Tabogon,10.93; 124.03
Cebu,Tabuelan,10.82; 123.87
Cebu,Tuburan,10.73; 123.83
Cebu,Tudela,10.63; 124.47
Compostela Valley,Compostela,7.667; 126.083
Compostela Valley,Laak,7.833; 125.817
Compostela Valley,Mabini,7.300; 125.850
Compostela Valley,Maco,7.367; 125.850
Compostela Valley,Maragusan,7.500; 126.000
Compostela Valley,Mawab,7.500; 125.933
Compostela Valley,Monkayo,7.817; 126.050
Compostela Valley,Montevista,7.700; 125.983
Compostela Valley,Nabunturan,7.600; 125.967
Compostela Valley,New Bataan,7.533; 126.133
Compostela Valley,Pantukan,7.150; 125.950
Cotabato,Kidapawan City,""
Cotabato,Alamada,7.333; 124.567
Cotabato,Aleosan,7.150; 124.583
Cotabato,Antipas,7.250; 125.050
Cotabato,Arakan,7.350; 125.133
Cotabato,Banisilan,7.500; 124.700
Cotabato,Carmen,7.200; 124.783
Cotabato,Kabacan,7.117; 124.817
Cotabato,Libungan,7.250; 124.517
Cotabato,Mlang,""
Cotabato,Magpet,7.100; 125.117
Cotabato,Makilala,6.967; 125.083
Cotabato,Matalam,7.083; 124.900
Cotabato,Midsayap,7.1917; 124.533
Cotabato,Pigkawayan,""
Cotabato,Pikit,7.050; 124.667
Cotabato,President Roxas,7.150; 125.050
Cotabato,Tulunan,6.833; 124.883
Davao del Norte,Panabo City,""
Davao del Norte,Island Garden City of Samal,""
Davao del Norte,Tagum City,""
Davao del Norte,Asuncion,7.583; 125.767
Davao del Norte,Braulio E. Dujali,7.450; 125.683
Davao del Norte,Carmen,7.36056; 125.70639
Davao del Norte,Kapalong,7.750; 125.500
Davao del Norte,New Corella,7.583; 125.833
Davao del Norte,San Isidro,7.750; 125.733
Davao del Norte,Santo Tomas,7.533; 125.617
Davao del Norte,Talaingod,7.617; 125.617
Davao del Sur,Davao City,""
Davao del Sur,Digos City,""
Davao del Sur,Bansalan,6.783; 125.217
Davao del Sur,Don Marcelino,""
Davao del Sur,Hagonoy,6.683; 125.300
Davao del Sur,Jose Abad Santos,""
Davao del Sur,Kiblawan,6.617; 125.217
Davao del Sur,Magsaysay,6.767; 125.183
Davao del Sur,Malalag,6.600; 125.400
Davao del Sur,Malita,""
Davao del Sur,Matanao,6.750; 125.233
Davao del Sur,Padada,6.633; 125.350
Davao del Sur,Santa Cruz,6.833; 125.417
Davao del Sur,Santa Maria,6.550; 125.467
Davao del Sur,Sarangani,""
Davao del Sur,Sulop,6.600; 125.350
Davao Oriental,Mati City,""
Davao Oriental,Baganga,7.567; 126.567
Davao Oriental,Banaybanay,7.100; 126.067
Davao Oriental,Boston,7.867; 126.367
Davao Oriental,Caraga,7.333; 126.567
Davao Oriental,Cateel,7.783; 126.450
Davao Oriental,Governor Generoso,6.650; 126.067
Davao Oriental,Lupon,6.900; 126.000
Davao Oriental,Manay,7.217; 126.533
Davao Oriental,San Isidro,6.833; 126.083
Davao Oriental,Tarragona,7.050; 126.450
Eastern Samar,Arteche,12.267; 125.367
Eastern Samar,Balangiga,11.117; 125.383
Eastern Samar,Balangkayan,11.467; 125.500
Eastern Samar,Borongan,""
Eastern Samar,Can-avid,12.000; 125.450
Eastern Samar,Dolores,12.050; 125.483
Eastern Samar,General MacArthur,11.250; 125.533
Eastern Samar,Giporlos,11.117; 125.450
Eastern Samar,Guiuan,11.033; 125.733
Eastern Samar,Hernani,11.333; 125.583
Eastern Samar,Jipapad,12.283; 125.233
Eastern Samar,Lawaan,11.150; 125.300
Eastern Samar,Llorente,11.417; 125.533
Eastern Samar,Maslog,12.100; 125.167
Eastern Samar,Maydolong,11.500; 125.500
Eastern Samar,Mercedes,11.100; 125.717
Eastern Samar,Oras,12.133; 125.433
Eastern Samar,Quinapondan,11.150; 125.517
Eastern Samar,Salcedo,11.150; 125.667
Eastern Samar,San Julian,11.750; 125.450
Eastern Samar,San Policarpo,12.183; 125.500
Eastern Samar,Sulat,11.817; 125.450
Eastern Samar,Taft,11.900; 125.417
Guimaras,Buenavista,10.7; 122.63
Guimaras,Jordan,10.600; 122.600
Guimaras,Nueva Valencia,10.517; 122.533
Guimaras,San Lorenzo,10.650; 122.717
Guimaras,Sibunag,10.500; 122.667
Ifugao,Aguinaldo,16.783; 121.317
Ifugao,Alfonso Lista,16.900; 121.517
Ifugao,Asipulo,16.600; 121.050
Ifugao,Banaue,16.91889; 121.05889
Ifugao,Hingyon,16.833; 121.117
Ifugao,Hungduan,16.833; 121.000
Ifugao,Kiangan,16.783; 121.083
Ifugao,Lagawe,16.817; 121.100
Ifugao,Lamut,16.65000; 121.22500
Ifugao,Mayoyao,16.967; 121.217
Ifugao,Tinoc,16.700; 120.900
Ilocos Norte,Batac City,""
Ilocos Norte,Laoag City,""
Ilocos Norte,Adams,18.467; 120.900
Ilocos Norte,Bacarra,18.250; 120.617
Ilocos Norte,Badoc,17.933; 120.467
Ilocos Norte,Bangui,18.533; 120.767
Ilocos Norte,Banna,17.983; 120.650
Ilocos Norte,Burgos,18.51611; 120.64611
Ilocos Norte,Carasi,18.200; 120.867
Ilocos Norte,Currimao,18.017; 120.483
Ilocos Norte,Dingras,18.117; 120.700
Ilocos Norte,Dumalneg,18.500; 120.817
Ilocos Norte,Marcos,18.050; 120.683
Ilocos Norte,Nueva Era,17.917; 120.667
Ilocos Norte,Pagudpud,18.567; 120.800
Ilocos Norte,Paoay,18.050; 120.517
Ilocos Norte,Pasuquin,18.333; 120.617
Ilocos Norte,Piddig,18.167; 120.733
Ilocos Norte,Pinili,17.95389; 120.52694
Ilocos Norte,San Nicolas,18.17250; 120.59583
Ilocos Norte,Sarrat,18.167; 120.650
Ilocos Norte,Solsona,18.100; 120.767
Ilocos Norte,Vintar,18.23000; 120.64194
Ilocos Sur,Candon City,""
Ilocos Sur,Vigan City,""
Ilocos Sur,Alilem,16.883; 120.533
Ilocos Sur,Banayoyo,17.233; 120.483
Ilocos Sur,Bantay,17.583; 120.383
Ilocos Sur,Burgos,17.333; 120.500
Ilocos Sur,Cabugao,17.800; 120.450
Ilocos Sur,Caoayan,17.533; 120.400
Ilocos Sur,Cervantes,16.99167; 120.73333
Ilocos Sur,Galimuyod,17.183; 120.467
Ilocos Sur,Gregorio Del Pilar,""
Ilocos Sur,Lidlidda,17.267; 120.517
Ilocos Sur,Magsingal,17.68333; 120.42500
Ilocos Sur,Nagbukel,17.450; 120.550
Ilocos Sur,Narvacan,17.417; 120.483
Ilocos Sur,Quirino,17.150; 120.667
Ilocos Sur,Salcedo,17.150; 120.533
Ilocos Sur,San Emilio,17.233; 120.617
Ilocos Sur,San Esteban,17.333; 120.450
Ilocos Sur,San Ildefonso,17.617; 120.400
Ilocos Sur,San Juan,17.72917; 120.46083
Ilocos Sur,San Vicente,17.58111; 120.34694
Ilocos Sur,Santa,17.49056; 120.43722
Ilocos Sur,Santa Catalina,17.600; 120.367
Ilocos Sur,Santa Cruz,17.02000; 120.47472
Ilocos Sur,Santa Lucia,17.117; 120.450
Ilocos Sur,Santa Maria,17.35861; 120.49806
Ilocos Sur,Santiago,17.300; 120.450
Ilocos Sur,Santo Domingo,17.633; 120.417
Ilocos Sur,Sigay,17.033; 120.583
Ilocos Sur,Sinait,17.86611; 120.45806
Ilocos Sur,Sugpon,16.850; 120.517
Ilocos Sur,Suyo,16.98000; 120.52694
Ilocos Sur,Tagudin,16.933; 120.450
Iloilo,Iloilo City,""
Iloilo,Passi City,""
Iloilo,Ajuy,11.167; 123.017
Iloilo,Alimodian,10.817; 122.433
Iloilo,Anilao,11.000; 122.717
Iloilo,Badiangan,11.000; 122.517
Iloilo,Balasan,11.467; 123.083
Iloilo,Banate,11.050; 122.783
Iloilo,Barotac Nuevo,10.900; 122.700
Iloilo,Barotac Viejo,11.050; 122.850
Iloilo,Batad,11.417; 123.117
Iloilo,Bingawan,11.233; 122.567
Iloilo,Cabatuan,10.883; 122.483
Iloilo,Calinog,11.133; 122.500
Iloilo,Carles,11.567; 123.133
Iloilo,Concepcion,11.200; 123.100
Iloilo,Dingle,11.050; 122.667
Iloilo,Dueñas,11.067; 122.617
Iloilo,Dumangas,10.833; 122.717
Iloilo,Estancia,11.450; 123.150
Iloilo,Guimbal,10.667; 122.317
Iloilo,Igbaras,10.717; 122.267
Iloilo,Janiuay,10.950; 122.500
Iloilo,Lambunao,11.050; 122.483
Iloilo,Leganes,10.783; 122.583
Iloilo,Lemery,11.233; 122.933
